Index,Pocet,pomer_polomerov,pomer_extrem_stran,pomer_polomer_polobvod,pomer_stran,pomer_opisana_strana,obsahy
0,81920,1.003792523655392,1.0555605363912721,1.00129442707551,1.03144325220605,1.1243315475517053,1.6235023415319478
20,81920,1.0020390171169988,1.0419163372770208,1.0006887333720564,1.023424464904252,1.1308494863224627,1.9885643717499342
40,81920,1.0078794567348353,1.0908319524848595,1.002646919844953,1.0497907598288179,1.109216028664045,1.9945314746371743
60,81920,1.0138721692330201,1.1213992757891569,1.0046617005551242,1.0676109724877332,1.0976126432843667,1.9500855098705063
80,81920,1.0186567655607508,1.1412783771242512,1.0062633484731935,1.0793721457465029,1.0911038258648527,1.907220189733227
100,81920,1.024026614869571,1.1608520782885061,1.0080553507745966,1.091250617811625,1.0852594211017978,1.8725818835674648
120,81918,1.0316929535861252,1.1854378340669274,1.0106023351311635,1.1065056075488817,1.0787637094175273,1.7938438675251396
140,81902,1.039904332942125,1.2108998804653432,1.0132669505821759,1.1221038097748048,1.072568926196815,1.743054642217461
160,81526,1.0463560798593787,1.236907017147344,1.0151114174987943,1.1355537754340097,1.066386156434674,1.644000703486178
180,78426,1.0497711581830145,1.2497132451197825,1.0163256365796896,1.1439816753920262,1.061897895351805,1.473175256145479
200,65876,1.0414326060818007,1.217927457737611,1.0136773297765929,1.1271286815797,1.0693675440914867,1.4418643674389502
220,60360,1.029556729776192,1.178977792892569,1.0096126285143083,1.1001380163398382,1.082767614348621,1.422328048121862
