Index,Pocet,median pomer_polomerov,median pomer_extrem_stran,median pomer_polomer_polobvod,median pomer_stran,median pomer_opisana_strana,median obsahy,rozptyl pomer_polomerov,rozptyl pomer_extrem_stran,rozptyl pomer_polomer_polobvod,rozptyl pomer_stran,rozptyl pomer_opisana_strana,rozptyl obsahy
0,81920,1.0018405286422754,1.0482061580095534,1.0006118971563578,1.0238978036641364,1.1298769949945466,1.6511922132344516,2.6310582790547186e-05,0.0015561966865972545,3.205884310689855e-06,0.0007061188026997206,0.0005219077520062226,0.04687471814413565
20,81920,1.000945534456622,1.0343601174334154,1.0003157873462998,1.018087687522824,1.1352740381224151,2.040475424770765,7.3475742639545435e-06,0.0007851563657712207,8.598499777777424e-07,0.0003081747571431372,0.00026350748198448787,0.050214971895293704
40,81920,1.0054713860375684,1.0843786473536516,1.0018271048136678,1.04471289369631,1.111773649858701,2.024284146131958,5.995890942837309e-05,0.0021850886537732915,7.024250880363055e-06,0.0008498950957884265,0.0005008414699737946,0.04726609120083235
60,81920,1.0093884714612915,1.1118206438852185,1.003133306934266,1.0603477953240459,1.1001567179254015,1.96660861043883,0.00019055669572079433,0.004101921702613089,2.2695777306954194e-05,0.0016844032846982746,0.0007488973270242102,0.04215654545329541
80,81920,1.0123588428324517,1.1295227073411924,1.0041150555009868,1.0699317986405346,1.09348018749055,1.9199061138087745,0.00035636302542045107,0.005840775914258018,4.278872590837357e-05,0.0024648571263264666,0.0009091413152448105,0.03551089851207434
100,81920,1.015678236002277,1.1467230426562722,1.0052232194850468,1.0796925750082593,1.0873306236688158,1.885819669989972,0.0006127134912375446,0.007903234130077466,7.404227012435165e-05,0.0034404194846954445,0.0010518109343509688,0.02995059604935967
120,81918,1.020289964404133,1.168055204067335,1.006745528287654,1.0925084705891503,1.080016515204117,1.8070032043924629,0.0011191504491644868,0.011029272052611524,0.00013617388501953106,0.005021607248622362,0.0012088003128560864,0.024533408599085937
140,81902,1.0258658814247474,1.1912893714058246,1.008578573694737,1.106590879575048,1.0727452420527508,1.7591015650560946,0.0017267647489249544,0.014448454475031854,0.00020728818266866174,0.006569959893762912,0.0012913841127047195,0.01998659024756903
160,81526,1.0340397067455886,1.220850648566211,1.0112913477686876,1.1249978995307854,1.0644210121712112,1.6575018360268308,0.0017613150247886228,0.01723371932211279,0.00018857309862984527,0.00652397492464947,0.001265404329965809,0.013787296883096413
180,78426,1.04058031173712,1.241745038923493,1.0133377784618482,1.1367972233361034,1.0590573417775384,1.4644416662339594,0.0017010746211762538,0.016060293329293027,0.00018582116587767208,0.006331787448332993,0.001216773442894278,0.014967428571702605
200,65876,1.0285177361715236,1.200298667982321,1.0094240705235018,1.111588580126332,1.0691311712425509,1.3930401183786016,0.0017434699575374622,0.016444352646885794,0.0001831349594615004,0.006551480991918066,0.0013417379933999686,0.055842490443930776
220,60360,1.017385728532649,1.1538279101715498,1.0057894857136818,1.0847494888081026,1.0838471613424536,1.3765654132014595,0.001188574430956223,0.01454064822553037,0.00012043678656100678,0.005006168162359088,0.0012608292110833587,0.04301841388208401
